MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
dendritic cell treated with Lipopolysaccharide 100 ng/mL for 30 minute	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017	Garber2017		/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/DC-30min-ENCSR059IHA.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/DC-30min-ENCSR156FDX.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/DC-30min-ENCSR329XFZ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/DC-30min-ENCSR605EGR.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/DC-30min-ENCSR648JJT.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/H3K27ac-DC-30min-ENCSR650OZF.sorted.unique_alignment.bam	ATAC	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
dendritic cell treated with Lipopolysaccharide 100 ng/mL for 4 hour	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017	Garber2017		/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/DC-4hr-ENCSR222SCA.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/DC-4hr-ENCSR290AUK.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/DC-4hr-ENCSR589ROM.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/DC-4hr-ENCSR901IEQ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/DC-4hr-ENCSR926GDT.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/DC-4hr-ENCSR926TFY.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/H3K27ac-DC-4hr-ENCSR986ZZK.sorted.unique_alignment.bam	ATAC	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
dendritic cell treated with Lipopolysaccharide 100 ng/mL for 6 hour	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017	Garber2017		/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017/DC-6hr-ENCSR904UKR.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017/H3K27ac-DC-6hr-ENCSR531MLI.sorted.unique_alignment.bam	ATAC	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
endothelial cell of umbilical vein	endothelial_cell_of_umbilical_vein-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/endothelial_cell_of_umbilical_vein-Roadmap/E122-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/endothelial_cell_of_umbilical_vein-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/endothelial_cell_of_umbilical_vein-Roadmap/E122-H3K27ac.tagAlign.gz	DHS	HUVEC	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF153AIN.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF530HNB.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF891CHR.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF462RGP.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/endothelial_cell_of_umbilical_vein-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/endothelial_cell_of_umbilical_vein-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/endothelial_cell_of_umbilical_vein-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/endothelial_cell_of_umbilical_vein-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
epithelial cell of prostate	epithelial_cell_of_prostate-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/epithelial_cell_of_prostate-ENCODE/ENCFF121VHH.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/epithelial_cell_of_prostate-ENCODE/ENCFF972SLL.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/epithelial_cell_of_prostate-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/epithelial_cell_of_prostate-ENCODE/ENCFF299KDY.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/epithelial_cell_of_prostate-ENCODE/ENCFF582LAP.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/epithelial_cell_of_prostate-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/epithelial_cell_of_prostate-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/epithelial_cell_of_prostate-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/epithelial_cell_of_prostate-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
erythroblast	erythroblast-Corces2016	Corces2016-Canver2017		/oak/stanford/groups/engreitz/ABC_inputs/erythroblast-Corces2016/Erythro-15.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/erythroblast-Corces2016/H3K27ac_ChIP-seq.sorted.unique_alignment.bam	ATAC	ErythroidProgenitor	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/Ery.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/erythroblast-Corces2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/erythroblast-Corces2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/erythroblast-Corces2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/erythroblast-Corces2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
fibroblast of arm	fibroblast_of_arm-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_arm-ENCODE/ENCFF226CWH.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_arm-ENCODE/ENCFF634CYI.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_arm-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_arm-ENCODE/ENCFF345SWP.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_arm-ENCODE/ENCFF612WGP.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF833SXA.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF818LFV.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF830AEN.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF213LWA.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_arm-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_arm-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_arm-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_arm-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
fibroblast of dermis	fibroblast_of_dermis-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_dermis-Roadmap/E126-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_dermis-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_dermis-Roadmap/E126-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_dermis-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_dermis-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_dermis-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_dermis-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
fibroblast of lung	fibroblast_of_lung-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_lung-Roadmap/E128-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_lung-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/fibroblast_of_lung-Roadmap/E128-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF458UOE.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF461AOR.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_lung-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_lung-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_lung-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/fibroblast_of_lung-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
foreskin fibroblast	foreskin_fibroblast-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/E055-DNase.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/E056-DNase.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/E059-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/E055-H3K27ac.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/E056-H3K27ac.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/foreskin_fibroblast-Roadmap/E059-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF322LVK.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF836HXE.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/foreskin_fibroblast-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/foreskin_fibroblast-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/foreskin_fibroblast-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/foreskin_fibroblast-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
gastrocnemius medialis	gastrocnemius_medialis-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF192YEQ.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/GastrocnemiusMedialis-ENCFF260WLD.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/GastrocnemiusMedialis-ENCFF478QWN.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/GastrocnemiusMedialis-ENCFF791GUO.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/GastrocnemiusMedialis-ENCFF924KBV.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/GastrocnemiusMedialis-ENCFF982ITD.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF040TJZ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF105HMV.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF105LMV.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF220TNE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF224YOO.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/gastrocnemius_medialis-ENCODE/ENCFF283UZD.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/gastrocnemius_medialis-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/gastrocnemius_medialis-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/gastrocnemius_medialis-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/gastrocnemius_medialis-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
GM12878	GM12878-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/GM12878-Roadmap/E116-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/GM12878-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/GM12878-Roadmap/E116-H3K27ac.tagAlign.gz	DHS	GM12878	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF766CPS.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF587ALK.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF154SOC.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF241OCJ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF392VPX.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF023VHU.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF305LZB.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF239AZD.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/GM12878-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/GM12878-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/GM12878-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/GM12878-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/E004-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/E004-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/E005-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/E005-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
H1_Derived_Mesenchymal_Stem_Cells	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/E006-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/E006-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Mesenchymal_Stem_Cells-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/E007-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/E007-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
H1-hESC	H1-hESC-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/H1-hESC-Roadmap/E003-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/H1-hESC-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/H1-hESC-Roadmap/E003-H3K27ac.tagAlign.gz	DHS	H1hESC	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF045NOY.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF334LZL.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF737ZEE.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF101HST.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF598ARA.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1-hESC-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1-hESC-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1-hESC-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H1-hESC-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
H9	H9-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/H9-Roadmap/E008-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/H9-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/H9-Roadmap/E008-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H9-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H9-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H9-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H9-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
